title,link,content
"[현대·기아, 내년 5월부터 중고차 판다]",https://n.news.naver.com/mnews/article/081/0003269374?sid=101,"[

중기부 심의회 최종 권고처음 2년간은 판매 대수 제한내년 1~4월 5000대씩 시범판매 중소업계와 샅바싸움 일단락



자동차 등록 2500만대 돌파 - 국내 자동차 등록 대수가 2500만대를 돌파한 13일 서울 동대문구의 한 중고차 시장에 판매를 기다리는 차량들이 빼곡히 주차돼 있다.정연호 기자현대·기아차의 중고차 시장 진출이 내년 5월부터 본격화된다. 중소벤처기업부는 28일 중소기업사업조정심의회를 열어 대기업의 중고차 시장 진출 시기를 내년 5월로 연기하기로 했다. 다만 내년 1~4월에는 각각 5000대 안에서 인증 중고차 시범 판매를 허용하기로 했다. 이로써 자동차 완성업체의 중고차 시장 진출 허용 여부를 놓고 대기업과 중소 중고차 업계의 샅바싸움은 일단락됐다.심의회는 현대·기아차에 중고차 판매를 허용하더라도 2년간은 판매 대수를 제한하기로 했다. 이에 따라 현대차는 중고차 판매 대수의 2.9~4.1%, 기아차는 2.1~2.9% 안에서 판매할 수 있다. 또 현대·기아차는 신차를 구매하려는 고객의 중고차 매입 요청 시에만 살 수 있다.매입한 중고차 가운데 인증 중고차로 판매하지 않는 중고차는 경매에 의뢰하도록 했다. 경매 참여자를 중소기업들로 제한하거나 자동차매매사업조합연합회와 협의해 정한 중고차 경매사업자에게 경매 대상 차량의 50% 이상을 배정해야 한다.현대·기아차에 대한 이번 사업 조정 권고는 3년간 적용되며 위반할 경우 공표, 이행명령, 벌칙 등의 조치를 한다. 위반 시 대중소기업 상생협력 촉진에 관한 법률에 따라 2년 이하의 징역 또는 1억 5000만원 이하의 벌금에 처할 수 있다.조주현 중기부 소상공인정책실장은 “중소기업의 사업 활동 기회를 실질적으로 확보하면서도 중고차 시장의 발전을 도모할 수 있는 방안을 찾으려고 고심했다”며 “현대·기아차와 중고차 업계가 사업 조정 내용을 수용해 달라”고 요청했다.이에 대해 현대·기아차는 “중고차 시장의 변화를 절실히 원하는 소비자를 고려하면 다소 아쉬운 결과”라고 밝혔다. 다만 “대승적인 차원에서 권고 내용을 따르고 중고차 소비자의 권익을 높이며 중고차 업계와의 상생을 목표로 중고차 사업을 추진하겠다”고 말했다. 또 “내년 1월에 시범사업을 선보이고, 내년 5월부터는 현대차와 기아 인증 중고차를 소비자에게 본격적으로 공급하면서 사업을 시작하겠다”고 밝혔다.
		
]"
"[현대차, 중고차 판매 1년 유예…1월부터 시범 판매 가능]",https://n.news.naver.com/mnews/article/057/0001659693?sid=101,"[

			【 앵커멘트 】  대기업이 중고차를 팔 수 있게 됐는데, 그 시점과 규모를 놓고 대기업과 중소기업 간 갈등을 빚었죠.   정부가 중소업계의 피해를 고려해 내년 5월부터 현대차그룹의 중고차 판매가 가능하다고 결론 내렸습니다.  민경영 기자입니다. 【 기자 】  현대차와 기아는 당장 다음 달부터라도 중고차 판매가 가능하다는 입장인 반면 중소기업은 대기업의 중고차 판매를 3년 미뤄달라고 요구했습니다.   당사자 간 협의에 이어 민간전문가가 참여한 조정에도 실패하면서 정부는 사업조정심의회를 열어 논의했습니다.   결국, 정부는 현대차그룹의 중고차 판매 사업 개시 시점을 내년 5월까지 1년 연기했습니다.   다만, 내년 1월부터 4월까지 넉 달 동안 각 5천대 내에서 시범판매가 허용됩니다.  판매 점유율은 첫 1년은 중고차 시장 전체의 5%, 그다음 1년은 7%로 제한되고, 중고차 매입도 신차를 구매하려는 고객의 요청 시에만 가능하도록 했습니다.  중소벤처기업부는 이번 사업조정 권고에 따라 중고차 매입물량 부족이나 가격 상승 같은 부정적 영향을 줄일 수 있을 것으로 기대하고 있습니다.   이번에 결정된 권고안은 2025년까지 3년간 적용되며, 권고안을 어길 경우 1억 5천만 원 이하의 벌금이나 2년 이하의 징역에 처해집니다.  현대차그룹은 ""다소 아쉬운 결과이지만 대승적 차원에서 권고안을 따르겠다""고 밝혔습니다.  기존 중고차 업계는 ""중기부가 대기업의 눈치를 봤다""고 반발하며 릴레이 단식 투쟁에 돌입하는 등 반발 수위를 높이고 있습니다.   MBN뉴스 민경영입니다.  영상편집 : 이범성

]"
"[1년 미뤄진 현대차·기아 중고차 판매…""아쉬운 결정""]",https://n.news.naver.com/mnews/article/629/0000146512?sid=101,"[

중기부, 현대차그룹 중고차 판매 1년 유예…업계 ""소비자 요구 외면""



중소벤처기업부가 28일 중소기업사업조정심의회를 열고 현대차와 기아 등 대기업의 중고차 시장 진출을 내년 5월로 1년 유예하라고 권고했다. /더팩트 DB, 기아 제공 현대자동차(현대차)와 기아 등 국내 완성차 업계의 중고차 사업 진출이 1년 연기됐다. 중소벤처기업부(중기부)는 28일 오후 세종시 중소기업사업조정심의회를 열고 국내 완성차 업계의 중고차 사업 개시 1년 유예 권고를 골자로 한 대기업 중고차 시장 진출 관련 최종 권고안을 확정했다. 이날 매듭지어진 권고안에 따라 현대차와 기아의 중고차판매업 시업 개시 시점은 내년 4월 30일로 미뤄졌다. 다만, 내년 1월에서 4월까지 각사별 5000대 내에서 인증중고차를 시범 판매할 수 있다. 내년 5월부터 현대차, 기아의 인증중고차 판매가 개시되더라도 판매 대수는 개시 시점부터 2년 동안 제한된다. 현대차는 내년 5월 1일부터 오는 2024년 4월 30일까지 2.9%, 2024년 5월 1일부터 2025년 4월30일까지 4.1%로 제한된다. 기아는 내년 5월 1일부터 2024년 4월 30일까지 2.1%, 2024년 5월 1일부터 2025년 4월 30일까지 2.9%다. ◆ 현대차·기아 ""권고 따르겠지만…소비자 고려하지 않은 아쉬운 결과""현대차와 기아는 중기부의 사업 조정 결과에 대해 ""중고차 시장의 변화를 절실히 원하는 소비자를 고려하면 다소 아쉬운 결과""라며 아쉬운 기색을 감추지 않았다. 양사는 ""무엇보다 (중고차 판매) 사업개시 1년 유예 권고는 완성차 업계가 제공하는 신뢰도 높은 고품질의 중고차와 투명하고 객관적인 거래환경을 기대하는 소비자들이 충분히 고려되지 않아 가장 아쉬운 부분""이라고 강조했다. 현대차·기아는 대승적 차원에서 권고내용을 따르고 △중고차 소비자들의 권익 증대와 △중고차 시장의 양적·질적 발전 △기존 중고차업계와 상생을 목표로 중고차사업을 추진할 계획이다. 먼저 내년 1월 시범사업에 나서고, 내년 5월부터는 현대차와 기아 인증중고차를 소비자들에게 본격적으로 공급하면서 사업을 개시할 방침이다. 아울러 중고차업계와 상생협력 및 상호발전을 위해 연도별로 시장점유율 상한을 설정해 단계적으로 시장에 진입하고, 인증중고차 대상 외 차량은 중고차 매매업계에 공급한다. 이외에도 다양한 출처의 중고차 관련 정보를 수집·분석한 이후 종합해서 제공하는 중고차 통합정보 오픈 시스템을 구축, 정보의 독점을 해소하고 중고차 시장의 투명성을 높이는 데 이바지할 계획이다. 



한국자동차산업협회는 중소기업사업조정심의회의 결정과 관련해 ""중고차시장 선진화에 대한 그동안의 소비자 요구와 국내산의 수입산과의 역차별 해소 필요성을 충족시키지 못하는 결정""이라며 유감을 표했다. /더팩트 DB◆ 車 업계 ""중기부, 수입 브랜드 역차별 해소 필요성 충족 못해""완성차 업계에서는 이번 중소기업사업조정심의회의 결정을 두고 △중고차 시장 선진화에 대한 소비자들의 요구 △국내 브랜드와 수입 브랜드의 역차별 해소 필요성 등을 고려하지 못한 결정이라며 유감을 표했다. 한국자동차산업협회(KAMA)는 이날 입장 자료를 내고 ""내년 1월부터 완성차업체들은 중고차 시범사업을 시작할 수 있게 됐지만, 1년 유예기간 설정과 시험사업 기간 내 매집과 판매 상한 제한 등으로 시장 선진화를 원하는 소비자들의 열망을 외면했다. 또한, 완성차업체는 플랫폼 대기업과 수입차 업체 대비 차별적 규제를 상당 기간 더 받게 됐다""고 지적했다. 이어 ""가장 나쁜 규제는 창의성과 혁신 그리고 경쟁을 제한하는 진입규제""라며 ""이번 사례를 계기로 기업들의 자유로운 시장 진입을 보장하되 불공정 행위에 대해서는 공정위의 시장감독 기능을 강화하는 방향으로 정부기능의 조정을 근본적으로 검토해갈 필요가 있다""고 덧붙였다. 그러면서 ""중소기업 고유업종제도의 경우 2006년 노무현 정부는 고유업종 제도가 오히려 중소기업의 경쟁력을 약화하고 외국기업들이 국내시장을 잠식토록 하는 결과를 초래한다는 판단 아래 폐지했다""라며 ""중소기업 고유업종 제도 시행 중 악화됐던 중소기업 고유업종 기업들의 경영실적은 이 제도를 폐지된 이후 오히려 개선됐던 점을 고려해야 할 것""이라고 설명했다. 정만기 KAMA 회장은 ""시장경제체제에서 정부개입은 경쟁을 아예 배제하는 것이 아니라 경쟁촉진을 통해 시장 활력과 혁신을 높여가는 방법으로 이뤄져야 할 것""이라며 ""이를 위해서는 개별법이나 생계형 적합업종 제도 등에 의한 진입규제는 과감히 철폐하되 공정위의 시장 감독 기능을 강화하는 방향으로 제도개선이 필요하다""고 강조했다. 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write

]"
"[현대차·기아, 2023년 5월 중고차시장 진출… 2년간 판매량 제한]",https://n.news.naver.com/mnews/article/022/0003690913?sid=101,"[

 



   지난 25일 서울 시내에 위치한 현대자동차 매장. 연합뉴스    현대차와 기아의 중고차 시장 진출이 당초 예정보다 1년 늦어졌다. 현대차와 기아 중고차 판매 대수가 제한되며, 이를 어길시 처벌을 받게 된다.   중소벤처기업부는 28일 현대차와 기아 중고차 시장 진출과 관련한 ‘중소기업 사업조정심의회’ 진행결과 권고안을 이같은 의결했다고 밝혔다. 심의회는 “현대차와 기아 중고차 판매업 시작 시점을 1년 연기해 내년 5월1일 개시한다”며 “다만 내년 1~4월에는 각각 5000대 이내에서 인증중고차를 시범판매 할 수 있다”고 발표했다.   또 현대차와 기아가 중고차 시장 진출 초기에 판매할 수 있는 물량도 제한했다. 현대차는 2023년 5월1일부터 2024년 4월30일까지 전차 중고차 2.9%를, 2024년부터 2024년 4월30일까지는 4.1%만 판매할 수 있다. 같은 기간 기아 중고차 판매 대수는 전체 물량의 2.1%와 2.9%로 제한된다.   또 현대차와 기아 고객이 신차를 사는 조건으로 기존 중고차를 팔겠다고 할 경우, 이들로부터 해당 중고차를 매입할 수 있도록 했다. 산 중고차 가운데 5년·10㎞ 미만 인증중고차로 판매하지 않는 물량은 경매에 넘겨야 한다. 이때 경매 참여자는 중소기업으로 제한하거나 현대차·기아가 자동차매매사업조합연합회와 협의해 정한 사업자에게 경매 의뢰하는 물량이 전체의 50% 이상이 되도록 했다. 이번 사업조정 권고는 내달 1일부터 2025년 4월30일까지 3년간 적용된다.   사업조정 당사자들이 권고를 따르지 않을 경우 중기부는 ‘이행명령’을 내릴 수 있다. 이마저도 어길 경우 2년 이하 징역 또는 1억5000만원 이하 벌금형을 받게 된다.

]"
[현대·기아 중고차 판매 언제부터…오늘 결론난다],https://n.news.naver.com/mnews/article/003/0011150595?sid=101,"[

기사내용 요약중기부, '중소기업사업조정심의회' 28일 개최총 6차례 자율조정 합의도출 실패…입장 팽팽쟁점은 '사업 개시 시점·매입 범위·판매 기준' 심의회서 양측 입장 절충…'권고안' 의결 예정



[서울=뉴시스] 권창회 기자 = 전국자동차매매사업조합원들이 28일 오전 서울 종로구 고궁박물관 인근에서 열린 대기업의 중고차시장 진출 반대 집회에서 구호를 외치고 있다. 2022.03.28. kch0523@newsis.com[서울=뉴시스]권안나 기자 = 대기업의 중고차 판매 시점과 매입 범위 등이 오늘 결정된다. 완성차업계와 기존 중고차업계의 입장차가 커 자율조정에 실패하면서, 중기부 주재 사업조정심의회를 통해 관련 사안의 종지부를 찍기로 했다. 중소벤처기업부(중기부)는 28일 현대자동차·기아의 중고차시장 진출 관련 사업조정 건에 대한 중소기업사업조정심의회를 개최한다.심의회에는 위원장인 중기부 소상공인정책실장을 비롯해, 산업통상자원부와 공정거래위원회 관계자가 당연직으로 포함된다. 이 밖에 학계, 업계 관계자 등의 사업조정 위원 7명까지 총 10명이 참석해 권고안을 도출한다. 이날 심의회에서는 당사자인 완성차 업계와 중고차 업계의 의견을 각각 청취하는 시간을 가진 뒤, 사전에 배포 받은 실태조사 결과와 자율조정 협의회 운영 단계에서 정리된 내용, 전문가 의견 등을 종합적으로 판단해 심의를 진행한다. 권고안의 주요 쟁점은 ▲대기업의 중고차 판매 사업 개시 시점 ▲대기업의 중고차 매입 범위 ▲대기업의 중고차 판매 기준 3가지다. 중고차 업계는 그동안의 자율조정 과정에서 '2~3년의 유예기간'과 '대기업의 매입 비율 제한'을 주장해왔다. 또 판매 기준과 품목을 한정해야 한다는 주장도 펼쳤다. 이에 대해 현대차·기아 측은 사업개시 연기와 매입 제한은 '불가'하고, 판매에 대해서는 올해 4.4%에서 2023년 6.2%, 2024년 8.8% 범위 내에서 점유율을 제한하겠다는 입장을 고수했다. 앞선 지난달 17일 열린 중고자동차판매업 관련 생계형 적합업종 심의위원회에서 '미지정' 의결로 결론나면서 대기업의 중고차 시장 진출길이 열렸다.중기부는 이와 관련, 지난 2월부터 2차례의 당사자간 자율조정과 4차례의 민간위원이 참여하는 자율사업조정협의회를 열고 합의도출을 위해 노력했다. 하지만 양측의 입장차가 좁혀지지 않자 사업조정심의회를 통해 결론을 내겠다는 방침을 세웠다.중기부 관계자는 ""심의회 과정은 법에 따라 진행되지만 그 속의 쟁점들이 계속해서 발생하기 때문에 늦은 저녁까지 상당 시간 소요될 것으로 예상된다""면서 ""사업조정심의회를 추가로 열겠다는 계획은 없기 때문에 이날 최종 결론을 내릴 것""이라고 말했다．

]"
"[현대차·기아, 내년 1월부터 중고차 시범 판매]",https://n.news.naver.com/mnews/article/056/0011257740?sid=101,"[

 [앵커] 중고자동차 시장 진출을 시도해 온 현대차와 기아가 내년부터 중고차를 판매할 수 있게 됐습니다. 다만 기존 중고차 업계의 타격을 줄이기 위해, 중소벤처기업부는 내년엔 시범으로 소량만 판매하고, 한시적으로 진입 비율도 제한하기로 했습니다. 김지숙 기자가 보도합니다. [리포트] 지난달 중고차 판매업 진입이 공식적으로 허용됐던 현대차와 기아. 그러나 기존 중고차 업계가 판매 시기 등을 늦춰달라고 정부에 조정 신청을 하면서 관련 논의가 이어져 왔습니다. 결국, 4차례 자율 조정 끝에 합의에 실패하면서 다시 중소벤처기업부 사업조정심의회의 판단을 받게 됐는데, 내년부터 중고차 판매를 허용한다는 권고가 내려졌습니다. 구체적으로 현대차와 기아는 내년 5월부터 중고차 사업을 시작할 수 있습니다. 하지만 내년 1월부터 4월까지 각각 5천 대씩 인증 중고차를 시범 판매할 수 있습니다. 그 이후 2년 동안은 현대차는 4.1%, 기아는 2.9%까지만 판매가 허용됩니다. 큰 쟁점 가운데 하나였던 매입도 제한 권고가 내려졌습니다. 심의회는 새 차를 사려는 고객이 중고차를 팔겠다고 할 때에만 중고차를 매입하라고 권고했습니다. 또 이 가운데 인증 중고차로 팔지 않는 나머지 물건은 경매로 팔되, 절반은 중소기업이나 기존 중고차 사업자를 대상으로 하라고도 했습니다. 이 같은 내용은 대기업이 중고차 시장에 진입할 경우 기존 중고차 업계가 받을 타격을 최소화하기 위해 마련됐습니다. 중기부는 이번 권고에 대해 중소기업의 요구를 일부 반영해 유예 기간과 단계적 진입 제한 조치를 했다며, 이를 통해 공제조합 설립이나 전산 고도화 같은 준비를 할 수 있는 시간적 여유가 생겼다고 밝혔습니다. 또 중고차 매입 물량 부족이나 가격 상승에 따른 부정적 영향도 완화할 수 있을 걸로 전망했습니다. 이 같은 권고에 대해 현대차와 기아는 아쉽다면서도, 권고 내용을 따르고 기존 업계와의 상생을 목표로 사업을 추진하겠다고 밝혔습니다. 반면 기존 중고차 업계 측은 심의회가 대기업 측의 안을 수용한 걸로 보인다며 실망스러운 결과라고 전했습니다. KBS 뉴스 김지숙입니다. 

]"
"[중기부 ""현대기아차 중고차 판매 1년 연기 권고""]",https://n.news.naver.com/mnews/article/079/0003637685?sid=101,"[

내년 시범 판매를 거쳐 5월부터 본격 판매할 수 있도록 사업 개시 시점 연기 권고사업 진출 2년차까지는 판매 점유율도 2.1%~4.9%로 제한하도록 권고



28일 오후 서울 장안평중고차매매시장에 차량들이 주차되어 있다. 연합뉴스현대자동차와 기아자동차가 당초 올해부터 시작하려던 중고차 판매업이 1년 연기될 전망이다.중소벤처기업부는 28일 현대기아차의 중고차 판매업 진출과 관련한 '중소기업사업조정심의회'를 열어 현대기아차의 중고차 판매업 진출을 1년 연기해 내년 5월부터 본격 개시하도록 하는 권고안을 의결했다.심의회는 다만 내년 1월~4월에도 양사가 각각 5천대 안에서 인증 중고차를 판매할 수 있도록 허용했다.인증 중고차는 제조사들이 기능 검사 등을 통해 성능을 인증한 중고차로, 중고차 판매의 핵심이다.심의회는 또 양사가 본격 판매에 들어가더라도 1년차인 2023년 5월부터 2024년 4월까지는 현대차의 중고차 판매 대수를 2.9%로, 기아차는 2.1%로 제한하고 2년차인 2024년 5월부터 2025년 4월까지는 각각 4.1%와 2.9%로 제한하도록 했다.판매대수 산출 기준은 국토교통부 자동차 이전 등록 통계 자료의 직전 연도 총거래대수(사업자 거래(알선이전+매도이전)+당사자 거래)와 사업자거래대수의 산술평균값으로 하도록 했다.또한 현대차와 기아차는 신차를 구매하려는 고객이 중고차를 매입해달라고 요청할 경우에만 매입을 하도록 했다.아울러 매입한 중고차 가운데 인증 중고차로 판매하지 않는 중고차는 경매에 넘기도록 했다. 이때 경매 참여자를 중소기업들로 제한하거나 현대차와 기아차가 중고차매매조합과 협의해 정한 중고차 경매사업자에게 경매의뢰하는 대수가 전체 경매 의뢰 대수의 50% 이상이 되도록 했다.이에 앞서 중기부는 중고차 판매업을 생계형 적합업종으로 지정해 완성차 대기업의 진출을 막아달라는 기존 중고차 판매업체들의 요구를 '소비자 편익' 등을 이유로 거부했다.이에 따라 중고차 업체들은 현대기아차를 상대로 중기부에 사업조정 심의를 신청했다.사업조정제도는 대기업 등이 사업을 인수,개시,확장해 해당 지역이나 업종의 중소기업에 부정적 영향을 미치거나 미칠 우려가 있을 때 중소기업이 신청하는 제도다. 정부는 대기업에게 3년 이내에서 사업의 인수, 개시, 확장을 연기하거나 품목, 시설, 수량 등을 축소하도록 권고할 수 있다.중기부는 사업조정 심의에 들어가기 전 양측이 자율 조정을 하도록 유도했으나 현대기아차는 시장 점유율을 한시적으로 제한할 수 있으나 사업 개시 시점은 연기할 수 없다는 입장을 보였다.



전국자동차매매사업조합연협회 장남회 회장 등 협회 관계자들이 지난달 29일 서울 여의도 중소기업중앙회에서 '독점재벌 현대·기아차 매매업 진출 결사 반대 기자회견'을 갖고 입장을 밝히고 있다. 황진환 기자반면 중고차 업체들은 현대기아차의 사업 개시 연기와 신차 판매권을 요구하면서 자율 조정은 무산됐다.중기부의 이번 권고안은 양측의 이같은 의견을 절충한 것으로 풀이된다.중기부는 ""이번 권고에 중소기업들의 요구를 절충 반영해 일부 유예 기간 및 단계적 진입 제한 조치를 부여함으로써 중소기업이 공제조합을 설립하고 전산 고도화 등을 준비할 수 있는 시간적 여유를 가지게 되고 중고차 매입 물량 부족, 매입 가격 상승 등에 따른 중소기업의 부정적 영향을 완화할 수 있을 것으로 기대하고 있다""고 밝혔다.또한 ""현대기아차에는 내년 5월부터 인증 중고차 사업을 본격 시작할 수 있도록 하는 동시에 제한적으로 조기 시범 운영을 허용함으로써 소비자들도 내년 1월부터는 현대기아차의 인증중고차를 구매할 수 있을 것으로 예상한다""고 밝혔다.중소벤처기업부는 이번 사업조정 권고가 오는 5월부터 오는 2025년 4월까지 3년간 적용되며 현대차와 기아차가 위반할 경우 공표, 이행명령, 벌칙 등에 따른 조치가 취해진다고 설명했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스

]"
"[현대차그룹 ""중고차 시장 진출 1년 유예…아쉬운 결과""]",https://n.news.naver.com/mnews/article/008/0004739397?sid=101,"[

			[현대차·기아, 내년 1월 시범사업 시작해 5월 소비자 중심 중고차사업 본격화]



(서울=뉴스1) 구윤성 기자 = 27일 서울 장안평 중고차 매매단지가 한산한 모습을 보이고 있다.  중소벤처기업부는 오는 28일 중소기업사업조정심의회를 열어 현대자동차와 기아의 중고차시장 진출 관련 최종 권고안을 확정하기로 했다.  현대차·기아가 중고차 시장 진출을 1년간 유예한 중소기업사업조정심의회의 결정에 아쉬움을 표했다.현대차·기아는 28일 입장문을 내고 ""중소기업사업조정심의회가 권고한 현대차·기아 중고차사업에 대한 사업조정 결과는 중고차시장의 변화를 절실히 원하는 소비자를 고려하면 다소 아쉬운 결과""라고 밝혔다.이어 ""사업개시 1년 유예 권고는 완성차업계가 제공하는 신뢰도 높은 고품질의 중고차와 투명하고 객관적인 거래환경을 기대하고 있는 소비자들이 충분히 고려되지 않아 가장 아쉬운 부분이라고 할 수 있다""고 강조했다.하지만 현대차·기아는 대승적 차원에서 권고내용을 따르고 중고차 소비자들의 권익 증대와 중고차시장의 양적·질적 발전, 기존 중고차업계와의 상생을 목표로 중고차사업을 추진할 계획이라고 했다.현대차그룹은 내년 1월 시범사업을 선보이고 5월부터는 인증중고차를 소비자들에게 본격적으로 공급하면서 사업을 개시할 예정이다. 또한 중고차업계와의 상생협력과 상호발전을 위해 연도별로 시장점유율 상한을 설정해 단계적으로 시장에 진입하고, 인증중고차 대상 외 차량은 중고차 매매업계에 공급하기로 했다.아울러 다양한 출처의 중고차 관련 정보를 수집·분석한 후 종합해서 제공하는 중고차 통합정보 오픈 시스템을 구축해 정보의 독점을 해소하고 중고차시장의 투명성을 높이는 데 기여할 계획이다. 현대차와 기아는 각각 지난달과 이달, 중고차사업 방향을 공개하고, 고품질의 인증중고차 공급을 통해 소비자 선택권 확대는 물론 전체적인 중고차 성능과 품질수준을 향상시켜 소비자 신뢰를 높이고, 고객을 위한 모빌리티 관점에서 혁신적인 서비스를 선보일 것이라고 약속한 바 있다.이날 중소벤처기업부는 현대차·기아의 중고차 판매업 진출 관련 사업조정 신청건에 대해 중소기업 사업조정 심의회를 열어 권고안을 의결했다. 권고안에 따르면 현대차·기아의 중고차 판매업 사업개시 시점은 1년간 연기된다. 다만 내년 1~4월 동안 각각 5000대 내에서 인증중고차 시범판매가 허용된다.중고차 판매대수 규모는 2023년 5월1일부터 2024년 4월30일까지 현대차는 2.9%, 기아차 2.1%로 제한하고, 2024년 5월1일부터 2025년 4월 30일까지 현대차는 4.1%, 기아차는 2.9%로 제한한다. 

]"
"[SK온, 중고차 배터리 평가 기준 마련한다]",https://n.news.naver.com/mnews/article/016/0001984415?sid=101,"[

한국자동차진단보증협회와 28일 업무협약진단 평가 표준화 선도…소비자 편익 제고



정우성 SK온 이모빌리티사업부장(왼쪽)과 정욱 한국자동차진단보증협회 회장이 기념 촬영을 하고 있다. [SK온 제공][헤럴드경제=김지윤 기자] SK온이 전문협회와 손잡고 중고 전기차 배터리의 성능과 잔존가치를 평가할 수 있는 기준을 만든다.전기차 가격 중 40％가량을 차지하는 배터리 수명과 상태를 정확하게 측정해, 소비자에게는 올바른 정보를 제공하기 위해서다.SK온은 28일 서울 종로구 SK서린사옥에서 한국자동차진단보증협회(이하 진단보증협회)와 ‘전기차(EV) 배터리 상태 진단 및 가치평가 기준 마련을 위한 업무협약’을 맺었다고 밝혔다.행사에는 정우성 SK온 이모빌리티 사업부장과 정욱 진단보증협회 회장이 참석했다.양측은 향후 전기차 배터리 잔존가치를 산정하기 위한 성능 진단 방법과 평가 기준을 함께 마련키로 했다. 협약을 통해 중고 전기차 시장을 활성화하고, 제대로 된 가치를 평가해 시장 투명성을 높일 수 있을 것으로 기대하고 있다.이를 위해 SK온은 배터리 상태를 진단하기 위해 자체 개발한 인공지능(AI) 알고리즘 ‘BaaS AI’를 기반으로 배터리 성능 측정 및 진단에 대한 자문을 협회에 제공할 예정이다. 전기차 관련 기업들과의 협업을 통해 축적한 방대한 데이터와 분석 능력도 적극 활용할 계획이다.SK온은 이미 중고차 거래기업인 케이카·오토허브셀카, 렌터카 업체인 SK렌터카, 전기차 충전 플랫폼인 EV Infra 등과 함께 배터리 진단 관련 협업을 진행 중이다.SK온은 또한 올 하반기부터 중고차 거래업체들이 사용할 수 있도록, 배터리 수명을 측정할 수 있는 기술을 개발 중이다.SK온과 협회가 업무협약을 맺은 배경에는 전기차 시장이 급속히 커지고 있는데 반해 전기차 배터리에 대한 공신력 있는 평가 기준은 여전히 미흡하다는 문제의식이 자리하고 있다. 현행 중고차 성능 상태 점검 기준은 내연기관 위주로 돼 있다.진단보증협회는 중고 자동차의 성능 상태 점검과 가격 산정 조사를 통해 소비자 보호를 목적으로 설립된 국토교통부 산하 단체다.이번 협업을 통해 전기차에 대한 진단 및 가치 산정에 대한 기준을 완성할 계획이다. 향후 협회는 전기차용 전용 진단 장비를 보급하고 전기차 전반에 대한 성능 상태 점검 기준을 마련, 국토교통부에 제도 개선을 건의할 계획이다.정 사업부장은 “성능 진단 및 잔존가치 평가는 배터리 자원선순환의 시작점”이라며 ”향후에도 친환경과 소비자 편익을 모두 챙길 수 있는 다양한 비즈니스를 개발해 나갈 것”이라고 말했다.

]"
[현대·기아 파는 중고차 올해 살까?…오늘 최종 결론],https://n.news.naver.com/mnews/article/374/0000283948?sid=103,"[

			[앵커] 대기업의 중고차 시장 진출과 관련한 최종 권고안이 오늘(28일) 확정될 전망입니다. 진출 시기와 규모 등 구체적인 부분이 정해질 것으로 보이는데요.서주연 기자 연결합니다. 오늘 최종 권고안이 나오죠? [기자] 오늘 중소기업사업조정심의회가 중고차 시장에 대기업의 사업 진출로 인해 중소기업 경영 안정에 미치는 부정적 영향을 심의합니다. 심의회에는 중기부 소상공인 정책실장이 위원장으로, 정부 위원 3명과 업계 관계자 등 민간 위원이 7명 참여하는데요.중기부가 양측의 의견을 절충한 안을 몇 가지 내놨고, 심의위원은 이 내용을 기반으로 최종 권고안을 도출할 예정입니다. 지난 3월 정부가 중고자동차 판매업을 생계형 적합업종으로 지정하지 않으면서 사실상 대기업의 중고차 시장 진출이 허용됐는데요.다만 중소기업사업조정심의회의 사업 조정을 받으라는 조건이 달렸었습니다. [앵커] 양측의 입장차가 큰데 구체적으로 어떤 내용이 나올까요? [기자] 지난 2월부터 2차례 대기업과 중소기업 당사자간 자율조정을 했고, 민간위원이 참여하는 자율사업조정협의회를 4번이나 열었지만 여전히 입장차가 좁혀지지 않고 있습니다. 중고차업계는 2년에서 3년간 대기업 진출을 미루고, 그 이후에도 최대 3년간 매입과 판매를 제한할 것을 요구하고 있는데요.반면 현대차·기아는 사업개시 연기와 매입 제한은 절대 불가하다는 입장입니다. 다면 양사를 합친 점유율은 2022년 4.4%, 2023년 6.2%, 2024년 8.8% 범위 내에서 제한 가능하다는 입장입니다. 사업조정심의회의 권고는 법적 효력이 있어서 불이행 시 2년 이하 징역 또는 1억 5000만 원 이하의 벌금에 처할 수 있습니다. 한편 중고차 단체들은 오늘부터 단식 투쟁에 나서고 있어 최종 조정이 결렬될 가능성도 제기됩니다. SBS Biz 서주연입니다. 
		
]"
